Педагог дополнительного образования (в области технического творчества)  + Преподаватель робототехники в дополнительном образовании,"Диплом государственного образца о среднем профессиональном образовании с присвоением квалификации «Педагог дополнительного образования (в области технического творчества)»
",Диплом о дополнительном профессиональном образовании,Педагог дополнительного образования в области технического творчества,"Педагог дополнительного образования в области технического творчества обучает детей и подростков основам моделирования, конструирования и программирования, робототехники, знакомит с технологиями обработки материалов — древесины, металла, пластика. Разрабатывает и реализует технологические процессы изготовления изделий, учит использовать специальный инструмент. 
Педагог дополнительного образования с областью деятельности «Техническое творчество» развивает у детей творческое мышление, воображение, память. Выявляет их таланты и способности, разрабатывает индивидуальные планы обучения одарённых учеников. Помогает готовиться к конкурсам, выставкам, презентациям. Проводит досуговые мероприятия — семинары, презентации, выставки.","20 255 ₽
Зарплата в регионах
26 771 ₽
Зарплата в Москве","Преподаватель робототехники в дополнительном образовании

Робототехника — та сфера деятельности, где можно научиться творческому подходу в решении технологических задач. 

Обучение на преподавателя робототехники поможет планировать занятия, воспитывать у детей интерес к науке, а также развить коммуникативные навыки.

Преподаватель участвует в составлении учебного плана, проводит соревнования и объясняет алгоритмы с помощью специальных программ. Педагог дополнительного образования по робототехнике востребован в кружках и секциях, а также в детских центрах развития.
","36 000 Р
Средняя заработная плата преподавателя робототехнике
https://jobfilter.ru/
","Педагог может работать в центрах изучения робототехники, в детских образовательных центрах, в клубах при школах или университетах. 

В перспективе педагог по робототехнике может открыть свой центр, создать собственный курс или записывать обучающие видеоролики по робототехнике. 

С основным дипломом педагога можно работать преподавателем  дисциплин, связанных с программированием, инженерией, роботехникой в школах и центрах дополнительного образования.","центры детского досуга;
дома культуры;
центры детского дополнительного образования;
государственные и частные общеобразовательные школы;
лицеи, гимназии;
летние лагеря;
детские технопарки;
частная практика;
центры детского досуга; 
дворцы творчества детей и молодежи;
развлекательные центры; 
клубы робототехники; 
кванториумы.
","учитель робототехники, информатики, программирования;
педагог дополнительного образования;
методист в учреждении дополнительного образования;
педагог-организатор;
репетитор по робототехнике, информатике, программированию;учитель робототехники;
педагог доп образования по робототехнике;
судья на соревнованиях по робототехнике.


",Педагог дополнительного образования в области технического творчества,"Организовывать работу с детьми по созданию технических моделей и решению изобретательских задач.
Использовать прикладные компьютерные программы в дополнительном образовании школьников.
Обучать детей моделированию, конструированию, обработке материалов, программированию.
Планировать и проводить занятия по программам дополнительного образования детей в области технического творчества.
Комплектовать учебные группы в соответствии с уровнем подготовки детей.
Выявлять и развивать способности учеников.
Консультировать родителей по вопросам обучения школьников.
Организовывать выставки, презентации, мастер-классы.","Преподаватель робототехники в дополнительном образовании

Работать с детьми школьного и дошкольного возраста. 
Знать основы программирования. 
Проводить соревнования и образовательные мастер-классы. 
Конструировать и применять навыки конструирования на практике. 
Вести рабочую документацию.
Составлять план занятий с учетом особенностей детей. 
Применять основы 3D-моделирования.
",ДЛЯ СПО https://disk.yandex.ru/d/UvQEK40gvz7NGg/Иконки/Преподавание%20информатики%20и%20ИКТ%20в%20организациях%20дополнительного%20образования%20детей%20и%20взрослых%20(520%20ч.)?w=1               Для ДПО https://disk.yandex.ru/d/8d5r8zB3sg7qrQ,Педагог дополнительного образования (в области технического творчества),44.02.03. Педагогика дополнительного образования (в области технического творчества),н / д,н / д,н / д,"Организация и проведение различных видов образовательной деятельности.
Внедрение деятельности в области технического творчества в образовательный процесс.
Оформление плановой и отчётной документации.
Разработка учебно-методических материалов.
Организация внеурочных мероприятий, анализ их эффективности.
Выявление и развитие талантов и способностей учеников.
Разработка индивидуального плана обучения одарённых детей.
Умение работать с детьми.
Умение применять на практике основы конструирования и моделирования. 
Навык разработки учебной программы в дополнительном образовании. 
Использование упражнений для развития моторики и логики у детей. 
Планирование и проведений мероприятий по роботехнике. 
","Как происходит обучение в колледже
У каждого студента есть личный кабинет в системе дистанционного обучения, где можно:

Изучать теорию, читать лекции в электронном формате.
Выполнять самостоятельные работы.
Сдавать практические задания для проверки и оценки преподавателем.
Отвечать на тестовые вопросы (в т. ч. промежуточной аттестации).

Также в личном кабинете студент может задавать вопросы:

Преподавателю (вопросы по дисциплинам).
Техподдержке (не открываются дисциплины/тесты, не загружаются задания и др.).
Отделу по организации обучения (справки, вопросы по платежам и т. д.).

Практику студенты проходят со второго курса.",Учебный план специальности «Педагогика дополнительного образования  (в области технического творчества)»,н/ д,н/ д,https://disk.yandex.ru/d/A7hnMQx5t3FuWQ/дпо%20техн%20твор/робототехн.jpg
Педагог дополнительного образования (в области технического творчества) + 3D-моделирование и анимация,"Диплом государственного образца о среднем профессиональном образовании с присвоением квалификации «Педагог дополнительного образования (в области технического творчества)»
",Диплом о дополнительном профессиональном образовании,Педагог дополнительного образования в области технического творчества,"Педагог дополнительного образования в области технического творчества обучает детей и подростков основам моделирования, конструирования и программирования, робототехники, знакомит с технологиями обработки материалов — древесины, металла, пластика. Разрабатывает и реализует технологические процессы изготовления изделий, учит использовать специальный инструмент. 
Педагог дополнительного образования с областью деятельности «Техническое творчество» развивает у детей творческое мышление, воображение, память. Выявляет их таланты и способности, разрабатывает индивидуальные планы обучения одарённых учеников. Помогает готовиться к конкурсам, выставкам, презентациям. Проводит досуговые мероприятия — семинары, презентации, выставки.","20 255 ₽
Зарплата в регионах
26 771 ₽
Зарплата в Москве","3D-моделирование и анимация 

Деятельность специалиста в области моделирования и 3D-анимации востребована в рекламе, в маркетинге, в дизайне. 
В ходе обучения студенты освоят программы для 3D-моделирования и анимации, которые позволяют в точности передать формат, размер и фактуру объекта. Студенты освоят создание 3D-анимации, научатся применять на практике ее классические принципы, планировать и создавать сложные анимационные сцены, работать с референсами и т.д.","60 000 Р
Средняя заработная плата 3D-аниматора
https://ru.jooble.org
","Специалист в сфере 3D моделирования может работать в рекламных проектах, а также состоять в штате рекламных агентств. Создание анимации востребовано в маркетинге, поэтому в перспективе сотрудник может получить место в крупном холдинге. 

Востребованы курсы и онлайн мастер-классы по созданию анимации для социальных сетей. Можно открыть свой курс, а можно работать в качестве педагога на уже созданном

С основным дипломом педагога можно работать преподавателем  дисциплин, связанных с программированием, инженерией, роботехникой в школах и центрах дополнительного образования.","центры детского досуга;
дома культуры;
центры детского дополнительного образования;
государственные и частные общеобразовательные школы;
лицеи, гимназии;
летние лагеря;
детские технопарки;
частная практика;
рекламные агентства; 
продюсерские центры;
дизайн-студии; 
медиахолдинги; 
детские центры дополнительного образования.","учитель робототехники, информатики, программирования;
педагог дополнительного образования;
методист в учреждении дополнительного образования;
педагог-организатор;
репетитор по робототехнике, информатике, программированию;
3D-аниматор рекламных проектов; 
преподаватель основ 3D-моделирования для школьников и дошкольников; 
3D-дизайнер; 
3D-моделлер.",Педагог дополнительного образования в области технического творчества,"Организовывать работу с детьми по созданию технических моделей и решению изобретательских задач.
Использовать прикладные компьютерные программы в дополнительном образовании школьников.
Обучать детей моделированию, конструированию, обработке материалов, программированию.
Планировать и проводить занятия по программам дополнительного образования детей в области технического творчества.
Комплектовать учебные группы в соответствии с уровнем подготовки детей.
Выявлять и развивать способности учеников.
Консультировать родителей по вопросам обучения школьников.
Организовывать выставки, презентации, мастер-классы.","3D-моделирование и анимация 

Применять теорию 3D-дизайна на практике. 
Знать основные инструменты и программы для 3D-моделирования. 
Конструировать 3D-модели объектов. 
Создавать реалистичные визуализации. 
Использовать приложения для моделирования с мобильных устройств.
Применять основы 3D-моделирования и анимации для создания презентаций. ",ДЛЯ СПО https://disk.yandex.ru/d/UvQEK40gvz7NGg/Иконки/Преподавание%20информатики%20и%20ИКТ%20в%20организациях%20дополнительного%20образования%20детей%20и%20взрослых%20(520%20ч.)?w=1               Для ДПО https://disk.yandex.ru/d/_0RmPCDnms31rA,Педагог дополнительного образования (в области технического творчества),44.02.03. Педагогика дополнительного образования (в области технического творчества),н / д,н / д,н / д,"Организация и проведение различных видов образовательной деятельности.
Внедрение деятельности в области технического творчества в образовательный процесс.
Оформление плановой и отчётной документации.
Разработка учебно-методических материалов.
Организация внеурочных мероприятий, анализ их эффективности.
Выявление и развитие талантов и способностей учеников.
Разработка индивидуального плана обучения одарённых детей.Умение работать в специальных программах.
Умение производить расчеты. 
Применение в работе творческого подхода 
Знание основ рисунка.
Создание трехмерных объектов с нуля.
Создание и анимирование трехмерных персонажей для мультфильмов и игр.
Проработка мелких деталей трехмерных объектов.
Понимание художественных стилей. 
","Как происходит обучение в колледже
У каждого студента есть личный кабинет в системе дистанционного обучения, где можно:

Изучать теорию, читать лекции в электронном формате.
Выполнять самостоятельные работы.
Сдавать практические задания для проверки и оценки преподавателем.
Отвечать на тестовые вопросы (в т. ч. промежуточной аттестации).

Также в личном кабинете студент может задавать вопросы:

Преподавателю (вопросы по дисциплинам).
Техподдержке (не открываются дисциплины/тесты, не загружаются задания и др.).
Отделу по организации обучения (справки, вопросы по платежам и т. д.).

Практику студенты проходят со второго курса.",Учебный план специальности «Педагогика дополнительного образования  (в области технического творчества)»,н / д,н / д,https://disk.yandex.ru/d/A7hnMQx5t3FuWQ/дпо%20техн%20твор/3д%20модел.jpg
Педагог дополнительного образования (в области технического творчества) + Геймдизайнер,"Диплом государственного образца о среднем профессиональном образовании с присвоением квалификации «Педагог дополнительного образования (в области технического творчества)»
",Диплом о дополнительном профессиональном образовании,Педагог дополнительного образования в области технического творчества,"Педагог дополнительного образования в области технического творчества обучает детей и подростков основам моделирования, конструирования и программирования, робототехники, знакомит с технологиями обработки материалов — древесины, металла, пластика. Разрабатывает и реализует технологические процессы изготовления изделий, учит использовать специальный инструмент. 
Педагог дополнительного образования с областью деятельности «Техническое творчество» развивает у детей творческое мышление, воображение, память. Выявляет их таланты и способности, разрабатывает индивидуальные планы обучения одарённых учеников. Помогает готовиться к конкурсам, выставкам, презентациям. Проводит досуговые мероприятия — семинары, презентации, выставки.","20 255 ₽
Зарплата в регионах
26 771 ₽
Зарплата в Москве","Геймдизайнер

Геймдизайнер участвует в разработке компьютерных игр на разных стадиях. Умеет работать над игрой с момента зарождения идеи до самого релиза. Создает концепцию и структуру игры, проектирует игровую механику, разрабатывает стратегию продвижения продукта, знает основы маркетинга. Для такого специалиста важно хорошо ориентироваться в игровой индустрии, её специфике и трендах, а также понимать, как устроен игровой процесс. 
Геймдизайн сочетает в себе творческую, аналитическую и организаторскую деятельность, поэтому для работников игровой индустрии важна многозадачность. Специальность подходит и тем, кто видит себя геймдизайнером, и тем, кто не знает, как подступиться к изучению IT-сферы и программированию.
","~ 49 500 Р
Средняя зарплата в феврале
https://russia.trud.com
","Найти работу в индустрии компьютерных игр не так сложно, если обладать профессиональными навыками геймдизайнера. Существует множество смежных специальностей, связанных с разработкой компьютерных игр или game development. На сайте Jooble 6000 вакансий для геймдизайнеров. При наличии педагогического диплома, можно преподавать геймдизайн детям школьного возраста в кружках, школах дизайна и других центрах дополнительного образования.","центры детского досуга;
дома культуры;
центры детского дополнительного образования;
государственные и частные общеобразовательные школы;
лицеи, гимназии;
летние лагеря;
детские технопарки;
частная практика;студии разработки компьютерных игр;
IT-компании;
фриланс.


","учитель робототехники, информатики, программирования;
педагог дополнительного образования;
методист в учреждении дополнительного образования;
педагог-организатор;
репетитор по робототехнике, информатике, программированию; геймдизайнер;
программист;
тестировщик игр;
художник (digital).
",Педагог дополнительного образования в области технического творчества,"Организовывать работу с детьми по созданию технических моделей и решению изобретательских задач.
Использовать прикладные компьютерные программы в дополнительном образовании школьников.
Обучать детей моделированию, конструированию, обработке материалов, программированию.
Планировать и проводить занятия по программам дополнительного образования детей в области технического творчества.
Комплектовать учебные группы в соответствии с уровнем подготовки детей.
Выявлять и развивать способности учеников.
Консультировать родителей по вопросам обучения школьников.
Организовывать выставки, презентации, мастер-классы.","Геймдизайнер

Составлять пошаговый план проекта.
Разрабатывать концепцию компьютерной игры.
Продумывать интерфейс, игровые механики и уровни.
Продвигать игру на рынке.
Разрабатывать геймдизайнерскую документацию и работать с ней.
Прописывать сценарий от деталей сюжета до персонажей игры.
Тестировать игры.
Создавать прототипы игр, а затем полноценные проекты.
",ДЛЯ СПО https://disk.yandex.ru/d/UvQEK40gvz7NGg/Иконки/Преподавание%20информатики%20и%20ИКТ%20в%20организациях%20дополнительного%20образования%20детей%20и%20взрослых%20(520%20ч.)?w=1               Для ДПО: https://disk.yandex.ru/d/rta-3wCi6G9dXw,Педагог дополнительного образования (в области технического творчества),44.02.03. Педагогика дополнительного образования (в области технического творчества),н / д,н / д,н / д,"Организация и проведение различных видов образовательной деятельности.
Внедрение деятельности в области технического творчества в образовательный процесс.
Оформление плановой и отчётной документации.
Разработка учебно-методических материалов.
Организация внеурочных мероприятий, анализ их эффективности.
Выявление и развитие талантов и способностей учеников.
Разработка индивидуального плана обучения одарённых детей.
","Как происходит обучение в колледже
У каждого студента есть личный кабинет в системе дистанционного обучения, где можно:

Изучать теорию, читать лекции в электронном формате.
Выполнять самостоятельные работы.
Сдавать практические задания для проверки и оценки преподавателем.
Отвечать на тестовые вопросы (в т. ч. промежуточной аттестации).

Также в личном кабинете студент может задавать вопросы:

Преподавателю (вопросы по дисциплинам).
Техподдержке (не открываются дисциплины/тесты, не загружаются задания и др.).
Отделу по организации обучения (справки, вопросы по платежам и т. д.).

Практику студенты проходят со второго курса.",Учебный план специальности «Педагогика дополнительного образования  (в области технического творчества)»,н / д,н / д,https://disk.yandex.ru/d/A7hnMQx5t3FuWQ/дпо%20техн%20твор/гемдиз.jpg
Педагог дополнительного образования (в области технического творчества) + Разработчик Web и мультимедийных приложений,"Диплом государственного образца о среднем профессиональном образовании с присвоением квалификации «Педагог дополнительного образования (в области технического творчества)»
",Диплом о дополнительном профессиональном образовании,Педагог дополнительного образования в области технического творчества,"Педагог дополнительного образования в области технического творчества обучает детей и подростков основам моделирования, конструирования и программирования, робототехники, знакомит с технологиями обработки материалов — древесины, металла, пластика. Разрабатывает и реализует технологические процессы изготовления изделий, учит использовать специальный инструмент. 
Педагог дополнительного образования с областью деятельности «Техническое творчество» развивает у детей творческое мышление, воображение, память. Выявляет их таланты и способности, разрабатывает индивидуальные планы обучения одарённых учеников. Помогает готовиться к конкурсам, выставкам, презентациям. Проводит досуговые мероприятия — семинары, презентации, выставки.","20 255 ₽
Зарплата в регионах
26 771 ₽
Зарплата в Москве","Разработчик Web и мультимедийных приложений

В ходе обучения по данной программе студенты получат необходимые базовые знания математики и информатики, а также теоретические и практические знания программирования и работы информационных систем. 

Web-разработчик — одна из самых востребованных профессий в IT-сфере, поскольку сайты и приложения нужны многим компаниям и проектам. 

Специалист в сфере веб-разработки занимается созданием и поддержкой приложений и сайтов, интернет-магазинов, онлайн-банков, поисковых систем.

Есть три основных специализации веб-разработчиков: frontend, backend и fullstack. Для каждой из них требуются особые знания и профессиональные навыки.","~ 50 600 р
Средняя зарплата в феврале
https://russia.trud.com
","На сайте HH.ru размещено 15 000 предложений о работе для веб-разработчиков разных специализаций и уровней. Среди них более 5 тыс. вакансий от компаний, находящихся в Москве. Многие работодатели предлагают стабильную заработную плату, официальное трудоустройство и возможность работать удаленно.

С основным дипломом педагога можно работать преподавателем  дисциплин, связанных с программированием, инженерией, роботехникой в школах и центрах дополнительного образования.","центры детского досуга;
дома культуры;
центры детского дополнительного образования;
государственные и частные общеобразовательные школы;
лицеи, гимназии;
летние лагеря;
детские технопарки;
частная практика;
IT-компании;
банки;
web-студии;
научно-исследовательские центры, университеты;
государственные структуры;
заводы;
коммерческие предприятия.","учитель робототехники, информатики, программирования;
педагог дополнительного образования;
методист в учреждении дополнительного образования;
педагог-организатор;
репетитор по робототехнике, информатике, программированию; 
аналитик данных;
разработчик сайтов
разработчик приложений;
тестировщик;
программист;
дизайнер сайтов
",Педагог дополнительного образования в области технического творчества,"Организовывать работу с детьми по созданию технических моделей и решению изобретательских задач.
Использовать прикладные компьютерные программы в дополнительном образовании школьников.
Обучать детей моделированию, конструированию, обработке материалов, программированию.
Планировать и проводить занятия по программам дополнительного образования детей в области технического творчества.
Комплектовать учебные группы в соответствии с уровнем подготовки детей.
Выявлять и развивать способности учеников.
Консультировать родителей по вопросам обучения школьников.
Организовывать выставки, презентации, мастер-классы.","Разработчик Web и мультимедийных приложений
Различать код на разных языках программирования.
Понимать разницу между специализациями веб-разработчиков.
Работать с JavaScript и PHP.
Заниматься разработкой и проектированием сайтов и приложений.
Создавать прототипы и тестировать их.
Пользоваться различными программами для разработки сайтов, приложений, лендингов и др.
Разрабатывать сценарии взаимодействий пользователя с интерфейсом.
",ДЛЯ СПО https://disk.yandex.ru/d/UvQEK40gvz7NGg/Иконки/Преподавание%20информатики%20и%20ИКТ%20в%20организациях%20дополнительного%20образования%20детей%20и%20взрослых%20(520%20ч.)?w=1               Для ДПО: https://disk.yandex.ru/d/onPZoskn3Qb9-w,Педагог дополнительного образования (в области технического творчества),44.02.03. Педагогика дополнительного образования (в области технического творчества),н / д,н / д,н / д,"Организация и проведение различных видов образовательной деятельности.
Внедрение деятельности в области технического творчества в образовательный процесс.
Оформление плановой и отчётной документации.
Разработка учебно-методических материалов.
Организация внеурочных мероприятий, анализ их эффективности.
Выявление и развитие талантов и способностей учеников.
Разработка индивидуального плана обучения одарённых детей.
","Как происходит обучение в колледже
У каждого студента есть личный кабинет в системе дистанционного обучения, где можно:

Изучать теорию, читать лекции в электронном формате.
Выполнять самостоятельные работы.
Сдавать практические задания для проверки и оценки преподавателем.
Отвечать на тестовые вопросы (в т. ч. промежуточной аттестации).

Также в личном кабинете студент может задавать вопросы:

Преподавателю (вопросы по дисциплинам).
Техподдержке (не открываются дисциплины/тесты, не загружаются задания и др.).
Отделу по организации обучения (справки, вопросы по платежам и т. д.).

Практику студенты проходят со второго курса.",Учебный план специальности «Педагогика дополнительного образования  (в области технического творчества)»,н / д,н / д,https://disk.yandex.ru/d/A7hnMQx5t3FuWQ/дпо%20техн%20твор/разработ%20веб.jpg
Педагог дополнительного образования (в области технического творчества) + Графический дизайнер,"Диплом государственного образца о среднем профессиональном образовании с присвоением квалификации «Педагог дополнительного образования (в области технического творчества)»
","Диплом о дополнительном профессиональном образовании с присвоением квалификации ""Графический дизайнер""",Педагог дополнительного образования в области технического творчества,"Педагог дополнительного образования в области технического творчества обучает детей и подростков основам моделирования, конструирования и программирования, робототехники, знакомит с технологиями обработки материалов — древесины, металла, пластика. Разрабатывает и реализует технологические процессы изготовления изделий, учит использовать специальный инструмент. 
Педагог дополнительного образования с областью деятельности «Техническое творчество» развивает у детей творческое мышление, воображение, память. Выявляет их таланты и способности, разрабатывает индивидуальные планы обучения одарённых учеников. Помогает готовиться к конкурсам, выставкам, презентациям. Проводит досуговые мероприятия — семинары, презентации, выставки.","20 255 ₽
Зарплата в регионах
26 771 ₽
Зарплата в Москве","Графический дизайнер 

Графический дизайнер работает изображениями от создания иллюстраций до ретуши готовых фотографий. Готовит рекламные буклеты и плакаты, контролирует их печать. Разрабатывает логотипы, фирменный стиль компании. Участвует в разработке сайтов, изображений для интернет-рекламы.

Графический дизайнер есть в каждом рекламном агентстве. Работает в штате и как фрилансер на проектах. Может совмещать работу в нескольких организациях. Особенность занятости в том, что можно работать удалённо.

Средний уровень заработной платы графического дизайнера около 40000 рублей. Есть организации, которые платят до 100000 рублей в  месяц. Также можно брать в работу разовые проекты оформить сайт, буклет, сделать виртуальные обложки для соцсетей.

",39758,"Педагог с дипломом графического дизайнера может работать в школе или детских кружках, центрах творчества и дополнительного образования. Преподавать рисование с углубленным изучением технической части дизайна: работу в специальных программах, особенности оформления стендов, афиш, плакатов. 

А также может выполнять работы на заказ как дизайнер, увеличивая свой доход. Графический дизайнер требуется в 4 380 организациях. При этом часто это удалённая работа, не требующая посещения офиса работодателя.","центры детского досуга;
дома культуры;
центры детского дополнительного образования;
государственные и частные общеобразовательные школы;
лицеи, гимназии;
летние лагеря;
детские технопарки;
частная практика;
детские развивающие центры;
кружки по дизайну;
художественные школы;
центры обучения взрослых;
дизайн-студии.","учитель робототехники, информатики, программирования;
педагог дополнительного образования;
методист в учреждении дополнительного образования;
педагог-организатор;
репетитор по робототехнике, информатике, программированию;
педагог дополнительного образования;
педагог по детскому творчеству;
художник-оформитель;
графический дизайнер;
репетитор;
преподаватель по дизайну.",Педагог дополнительного образования в области технического творчества,"Организовывать работу с детьми по созданию технических моделей и решению изобретательских задач.
Использовать прикладные компьютерные программы в дополнительном образовании школьников.
Обучать детей моделированию, конструированию, обработке материалов, программированию.
Планировать и проводить занятия по программам дополнительного образования детей в области технического творчества.
Комплектовать учебные группы в соответствии с уровнем подготовки детей.
Выявлять и развивать способности учеников.
Консультировать родителей по вопросам обучения школьников.
Организовывать выставки, презентации, мастер-классы.","Работать в основных графических редакторах: Photoshop, Illustrator, Indesign.
Создавать макеты страницы сайтов.
Разрабатывать многостраничные издания, годовые отчёты, каталоги, книги.
Работать над оформлением календарей и подарков для клиентов.
Разрабатывать логотипы, шрифты и фирменный стиль; разрабатывать макеты и визуализацию рекламных материалов (листовок, брошюр).",ДЛЯ СПО https://disk.yandex.ru/d/UvQEK40gvz7NGg/Иконки/Преподавание%20информатики%20и%20ИКТ%20в%20организациях%20дополнительного%20образования%20детей%20и%20взрослых%20(520%20ч.)?w=1             Для ДПО https://disk.yandex.ru/d/UvQEK40gvz7NGg/Иконки/Графический%20дизайн?w=1,Педагог дополнительного образования (в области технического творчества),44.02.03. Педагогика дополнительного образования (в области технического творчества),Графический дизайн,Графический дизайнер,720,"Организация и проведение различных видов образовательной деятельности.
Внедрение деятельности в области технического творчества в образовательный процесс.
Оформление плановой и отчётной документации.
Разработка учебно-методических материалов.
Организация внеурочных мероприятий, анализ их эффективности.
Выявление и развитие талантов и способностей учеников.
Разработка индивидуального плана обучения одарённых детей.
","Как происходит обучение в колледже
У каждого студента есть личный кабинет в системе дистанционного обучения, где можно:

Изучать теорию, читать лекции в электронном формате.
Выполнять самостоятельные работы.
Сдавать практические задания для проверки и оценки преподавателем.
Отвечать на тестовые вопросы (в т. ч. промежуточной аттестации).

Также в личном кабинете студент может задавать вопросы:

Преподавателю (вопросы по дисциплинам).
Техподдержке (не открываются дисциплины/тесты, не загружаются задания и др.).
Отделу по организации обучения (справки, вопросы по платежам и т. д.).

Практику студенты проходят со второго курса.",Учебный план специальности «Педагогика дополнительного образования  (в области технического творчества)»,"Учебный план программы профпереподготовки «Графический дизайн (720 ч.)»
",Графический дизайнер,https://disk.yandex.ru/d/A7hnMQx5t3FuWQ/дпо%20техн%20твор/граф%20диз.jpg
